component,singular_value,explained_variance_ratio
1,1302.0636426692768,0.10444958813087857
2,1178.7827584629788,0.08560711416108782
3,1113.4960474149482,0.0763870373990116
4,918.5464854726873,0.0519809948119423
5,812.3689498000839,0.04065827399175381
6,684.965473204706,0.02890544558904518
7,602.3267700282421,0.022351498170014382
8,581.9896861726056,0.020867618275916874
9,513.7521128275613,0.016261086087785016
10,440.66868646091905,0.011963732367406402
11,413.6481703603898,0.010541551202189652
12,406.14721037335664,0.010162703530258249
13,370.1780054726486,0.008442353427621086
14,365.6264960531769,0.008236024465576454
15,342.0338170186815,0.007207429470586817
16,320.2669049118815,0.00631926303023784
17,313.83107389901625,0.006067841012037483
18,305.5124288740323,0.005750426714220637
19,300.64939810319584,0.0055688174880475245
20,291.3825436824284,0.005230815086232661
21,284.55331545022284,0.0049884957594529935
22,276.6014156382306,0.004713582405941524
23,269.1003633281213,0.004461397046090655
24,262.8206757082349,0.00425560550667107
25,259.58071075918247,0.004151328888031436
26,256.21983814111013,0.004044527681363597
27,253.14181349665998,0.003947935795586753
28,250.59033228651097,0.0038687523587190927
29,245.59967518255365,0.003716189768820349
30,240.21463085730113,0.0035550132063201104
31,235.7052647661071,0.0034227948778040355
32,233.23564658585443,0.0033514454911967068
33,231.4927971757721,0.003301545390130127
34,228.20358789434962,0.0032083906619793617
35,225.64358208614286,0.003136810464950403
36,221.8414761095065,0.0030319902457624733
37,219.36294354818867,0.002964618656833775
38,218.27106507160457,0.002935179343495606
39,212.3256741886724,0.002777456914525652
40,210.20008353742057,0.0027221250725836337
41,208.30817686095452,0.0026733445946178764
42,204.6479782356743,0.0025802228927685766
43,202.64413735386452,0.0025299410086417305
44,201.49245436110832,0.0025012660080731652
45,199.00040829905794,0.002439777613602307
46,197.144026585314,0.0023944708387531165
47,196.18134805095042,0.0023711429433037052
48,194.62390335771636,0.0023336443193413513
49,191.88696328908915,0.0022684710806313117
50,190.44926368099425,0.002234605703874454
